,protein_name,compound_name,smiles,pocket_name,pocket_com,affinity
85,6dlo,,C1(C#N)SC2=C(C=CC=C2)C=1OCC1C=CC=C(Cl)C=1,protein_center,"-18.041,-13.011,7.779",5.7281866
86,6dlo,,C12C=C(CN3CCC(CC3)CCN3C=CC=N3)C=CC1=NSN=2,protein_center,"-18.041,-13.011,7.779",3.0507212
87,6dlo,,C12(C3=CC=CC=C3NC(N)=C1C(OCCCC)=O)C(=O)OC1CCCC(=O)C2=1,protein_center,"-18.041,-13.011,7.779",2.8071618
88,6dlo,,CN(C1CCCCC1)CCNC(C1=C(F)C=CC=C1)=O,protein_center,"-18.041,-13.011,7.779",3.7031791
89,6dlo,,N1=C(C2=CC=C(C(Cl)=C2)Cl)CC(C(=O)NC2C(OC)=CC(=C(OC)C=2)Cl)O1,protein_center,"-18.041,-13.011,7.779",4.1339726
90,6dlo,,C(=O)(NN=CC1C=CC=C(OC)C=1OC)C(=O)NCC1=CC=CO1,protein_center,"-18.041,-13.011,7.779",2.3524415
91,6dlo,,COC1=C(OC)C(OC)=C(C(NC2SC3=C(C=CC(=C3)Cl)N=2)=O)C=C1,protein_center,"-18.041,-13.011,7.779",4.3647604
92,6dlo,,[C@@]1(CNCCCC2C=CC=CC=2)(O)[C@@H](O)CCN(C(CCC2C=CC=CC=2)=O)C1,protein_center,"-18.041,-13.011,7.779",4.794669
93,6dlo,,C1(=CC=CC=C1)S(=O)(=O)NC1=CC=C(CC2C=CC(NS(=O)(=O)C3C=CC=CC=3)=CC=2)C=C1,protein_center,"-18.041,-13.011,7.779",5.038126
94,6dlo,,COC(C1OC(CSC2NN=C(C3SC=CC=3)N=2)=CC=1)=O,protein_center,"-18.041,-13.011,7.779",2.1679177
95,6dlo,,C12C(=NC=NC=1C1=C(N=C(C3COC(C)(C)CC1=3)C)O2)N1CCC(CC1)C,protein_center,"-18.041,-13.011,7.779",4.84321
96,6dlo,,O=C(C1C(I)=CC=CC=1C)Cl,protein_center,"-18.041,-13.011,7.779",1.9196403
97,6dlo,,C=CN1C2=CC=C(Br)C=C2C2(CC2)C1=O,protein_center,"-18.041,-13.011,7.779",3.1862845
98,6dlo,,CC1S(=O)(=O)CCN(C(C2=C(Br)C=CC=C2)=O)CC1,protein_center,"-18.041,-13.011,7.779",2.0302613
99,6dlo,,CC1CN(C(C(NC2CN(C3C(=O)NC=CN=3)CCC2)=O)=O)CCC1,protein_center,"-18.041,-13.011,7.779",2.72604
100,6dlo,,C1(C#N)C2CCCC=2C(=NC=1OCCOC)C1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",4.3286543
101,6dlo,,[C@H]1(OC2=CC=C(C=C2)[C@@]2([H])C[C@@H]([C@]3([C@@]([H])(CCC3)O2)[H])NC(C(C)C)=O)O[C@H](CO)[C@H]([C@H](O)[C@@H]1O)O,protein_center,"-18.041,-13.011,7.779",3.1486552
102,6dlo,,C1(C(=O)N2CC[C@@H]([C@@H](OC3C=CC(=CC=3)F)CC2)O)C=C(ON=1)C1C=CC(=CC=1)C,protein_center,"-18.041,-13.011,7.779",4.0593553
103,6dlo,,S(C1C=CC=CC=1)(=O)(=O)NN=C(C)C1C=CC(=CC=1)NC(=O)C1=CC=CS1,protein_center,"-18.041,-13.011,7.779",3.3936274
104,6dlo,,C12=CC(=NN1C=NN(CC(=O)NCC1CCCO1)C2=O)C1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",3.216879
105,6dlo,,N1(CCN(CC1)C1=CC=CC=C1NC(COC1=CC=CC=C1Cl)=O)C(C)=O,protein_center,"-18.041,-13.011,7.779",4.076469
106,6dlo,,C(=O)(C1C=NC(=NC=1)CC)N1CCC(CC1)N(C)CC1=CC=CC=C1,protein_center,"-18.041,-13.011,7.779",4.2959976
107,6dlo,,C1(C2=CC=C(C=C2)O)OC2C=CC=CC=2C(=O)C=1,protein_center,"-18.041,-13.011,7.779",3.18651
108,6dlo,,N1(CC(=O)NC2C=CC(=CC=2)C)C(=O)C(NC1=O)=CC1=CC=CC(C)=C1,protein_center,"-18.041,-13.011,7.779",5.367118
109,6dlo,,C12=NN(C(=O)N1C=CC=C2S(=O)(=O)N1CCCCC1)CC1C=CC=C(F)C=1,protein_center,"-18.041,-13.011,7.779",3.4741359
110,6dlo,,C1(=C(C)C=C(N(CC(=O)NC2=CC=CC=C2C(F)(F)F)C1=O)C)S(=O)(=O)C1=CC=C(C=C1)C,protein_center,"-18.041,-13.011,7.779",5.9314146
111,6dlo,,C1(C)C2=C(O)C=C(C=C2OC(=O)C=1CC(=O)N[C@H](C)C(O)=O)C,protein_center,"-18.041,-13.011,7.779",1.9760754
112,6dlo,,CC1C=CC2C(=CC(=CC=2)I)N=1,protein_center,"-18.041,-13.011,7.779",3.1019416
113,6dlo,,N[C@@H]1C2C=C(C(=CC=2CC1)Br)F,protein_center,"-18.041,-13.011,7.779",2.5812044
114,6dlo,,C1=CC(C(O)(C2C(OC)=CC=CC=2)CCN2CCCCC2)=CC=C1OCCC,protein_center,"-18.041,-13.011,7.779",4.495486
115,6dlo,,N1=C(C(F)(F)F)C=C(C2C=CC(=C(F)C=2)O)N1C1C=CC(=CC=1)S(N)(=O)=O,protein_center,"-18.041,-13.011,7.779",3.8220842
116,6dlo,,N1C(C2C=CC=C(C=2)C(F)(F)F)=NOC=1C1=CC=C(O1)CS(=O)(=O)C1C=CC(=C(C)C=1)C,protein_center,"-18.041,-13.011,7.779",5.4965568
117,6dlo,,C1(=CN(N=N1)CC1(O)CCN(CC1)C(=O)CC1CCCC1)C(=O)N1CCOCC1,protein_center,"-18.041,-13.011,7.779",4.085513
118,6dlo,,N1=C(CCC(=O)NCC23CCC=C2N(C(=O)CC3)C)ON=C1C1=CC=CC=C1,protein_center,"-18.041,-13.011,7.779",4.1726294
119,6dlo,,CN1CCN(CCNC(C2=CC(C(F)(F)F)=CC(N(=O)=O)=C2)=O)CC1,protein_center,"-18.041,-13.011,7.779",3.5807846
120,6dlo,,[C@H]1(NC(=O)NC2=CC=CC=C2C2=CC=CC=C2)[C@@H]2CCO[C@@H]2[C@H]1COC,protein_center,"-18.041,-13.011,7.779",3.6939988
121,6dlo,,C1(=CC=CC(C)=C1OC)C(=O)N1CCN(CC1)C1C=CC(=C(NCCC2=CC=CC=C2)C=1)N(=O)=O,protein_center,"-18.041,-13.011,7.779",4.5106297
122,6dlo,,N1=C(CSC2=NC=CC=N2)N(N=C1C1CCCC1)CC,protein_center,"-18.041,-13.011,7.779",3.4367056
123,6dlo,,N1(CC(=O)N2CCN(CC2)C2C(=CC=CN=2)C)C(C)=CC(=NC1=O)C,protein_center,"-18.041,-13.011,7.779",3.544143
124,6dlo,,S(=O)(=O)(C1=CC=C2C(=C1)N(C)C(C(=O)N2C)=O)N(C)CC(=O)NC1=CC=C(C=C1)C(C)C,protein_center,"-18.041,-13.011,7.779",4.616895
125,6dlo,,C1(C(=O)NC(C)C)N=C(N2C[C@H]3CC[C@@H](CC2=1)N3C(=O)C1C=CC(=CN=1)F)C1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",5.362569
126,6dlo,,C1(SCC(=O)NC2C=CC(=CC=2C)C)SC2=C(C=CC(=C2)N=CC2C=CC=C(C=2)N(=O)=O)N=1,protein_center,"-18.041,-13.011,7.779",6.8558683
127,6dlo,,O=C(NCCCN1N=CC=C1)CC1=CC2=C(C=CC=C2)C=C1,protein_center,"-18.041,-13.011,7.779",3.863883
128,6dlo,,OC1C(N2CCN(CC3CCC(C(F)(F)F)CC3)CC2)CS(=O)(=O)C1,protein_center,"-18.041,-13.011,7.779",3.946618
129,6dlo,,C1(=CC(=CC=C1N1CCNCC1)NC(=O)/C=C/C1=CC=C(C2C=CC(=CC=2)F)O1)N(=O)=O,protein_center,"-18.041,-13.011,7.779",4.368547
130,6dlo,,N1(C2=CC=CC=C2N(=O)=O)C=C(C(OCC)=O)C(C2C=C(N(=O)=O)C(Cl)=CC1=2)=O,protein_center,"-18.041,-13.011,7.779",3.2410572
131,6dlo,,N1(C2C=CC=C3C=CC=CC=23)C(=O)C2C(C3CC2C(C3Br)Br)C1=O,protein_center,"-18.041,-13.011,7.779",3.3574953
132,6dlo,,CC1OC(C)CN(C(CN2C(C)CN(CC(O)(C)C)CC2)=O)C1,protein_center,"-18.041,-13.011,7.779",2.0366259
133,6dlo,,C1(=CC=CC=C1OCCCC)C(=O)NNC(=O)C1C=CC(=CC=1)OCCC(C)C,protein_center,"-18.041,-13.011,7.779",4.2845206
134,6dlo,,CC1=CC=C(C(CCC(NC2=CC(N(=O)=O)=C(C)C=C2)=O)=O)C=C1,protein_center,"-18.041,-13.011,7.779",4.9959097
135,6dlo,,N1(N)C(SCCC(=O)NC2=CC(OC)=CC(OC)=C2)=NN=C1C(C)C,protein_center,"-18.041,-13.011,7.779",2.5551388
136,6dlo,,COC(C1SC=C(C)N=1)CN,protein_center,"-18.041,-13.011,7.779",2.596289
137,6dlo,,N1C=CNC=1CN(C)CC1CCCN(CCC2=CC=C(C=C2)OC)C1,protein_center,"-18.041,-13.011,7.779",3.808706
138,6dlo,,N1=C(CN(C)CCC2NC3C(=CC=CC=3)N=2)ON=C1C1CC1,protein_center,"-18.041,-13.011,7.779",2.7720368
139,6dlo,,CC1C(N)=C(C)N(CCC2CCC2)N=1,protein_center,"-18.041,-13.011,7.779",3.8040776
140,6dlo,,C1(=NN(C=N1)CC(=O)NCC1=CC=CC=C1C)NC(C1=CC=CC=C1)=O,protein_center,"-18.041,-13.011,7.779",3.3407888
141,6dlo,,CC1OC(C)=C(C(OCC(CCC#N)(C)C)=O)C=1,protein_center,"-18.041,-13.011,7.779",2.2470038
142,6dlo,,C12=NC(CN(C)C(=O)C3=C(C=CC=C3OC)OC)=NC(C)=C1CCC(=O)N2CC1CC1,protein_center,"-18.041,-13.011,7.779",3.0733533
143,6dlo,,N1(C2C=CC(=CC=2)C)N=C(C2C=NC3=CC=C(Br)C=C3C=21)C1=CC=CC=C1,protein_center,"-18.041,-13.011,7.779",7.1042004
144,6dlo,,S(=O)(=O)(C1C=CC(=CC=1)Br)N1CCC2C=C(C=CC1=2)C(NCCC)=O,protein_center,"-18.041,-13.011,7.779",4.112925
145,6dlo,,N12CCNCCC1=NN=C2CNC(=O)C1CCOC1,protein_center,"-18.041,-13.011,7.779",1.075276
146,6dlo,,C1(C(C)=O)C=C(N(C)C=1)CN(C)CC1CC(N(C)C1)=O,protein_center,"-18.041,-13.011,7.779",1.1899754
147,6dlo,,C12=NN=C(C(C)C)N1C1C(=CC=CC=1)N(CC(=O)NC1=CC=C(C=C1)OC)C2=O,protein_center,"-18.041,-13.011,7.779",3.066505
148,6dlo,,O(C)C1=CC(C(C)=O)=C(C=C1CC)N,protein_center,"-18.041,-13.011,7.779",1.4031216
149,6dlo,,N1(CC2=C(C=CC=C2Cl)F)C(=O)C(SC1=O)=CC1C=CC(=CC=1)OCC1C=CC(=CC=1)F,protein_center,"-18.041,-13.011,7.779",4.909975
150,6dlo,,Cl.FC1C=NC=CC=1OCC,protein_center,"-18.041,-13.011,7.779",2.120893
151,6dlo,,OC(CS(CC1=CC=C(Cl)C=C1)(=O)=O)COC1=CC=C(Cl)C=C1,protein_center,"-18.041,-13.011,7.779",3.2940686
152,6dlo,,S(C)(CCC(NCCN1CCCCC1)=O)(=O)=O,protein_center,"-18.041,-13.011,7.779",1.9761946
153,6dlo,,C1(C(NCCCN2C(C)=CC(C)=N2)=O)=CSC(NC2C=C(C)N=C(C3CCCN(CC#N)C3)N=2)=N1,protein_center,"-18.041,-13.011,7.779",3.605185
154,6dlo,,N1(C2C=CC=CC=2F)C(=O)C(=CC2=CC(OCC)=C(C=C2Br)O)C(NC1=S)=O,protein_center,"-18.041,-13.011,7.779",4.40146
155,6dlo,,C(=O)(C1=CC=C(C=C1)OCCC)NC(CC)C1=CC=CC=C1,protein_center,"-18.041,-13.011,7.779",3.6367097
156,6dlo,,N1(C2=CC=C(C=C2)OC)C(=O)C2=CC=C(C=C2NC1=S)C(=O)NCC1C=CC=C(Cl)C=1,protein_center,"-18.041,-13.011,7.779",4.162416
157,6dlo,,CCN1CCN(C(C2=C3C(NC=C3)=CC=C2)=O)CC1,protein_center,"-18.041,-13.011,7.779",2.8312871
158,6dlo,,C(=O)(C1CCN(CC1)CC(C)C)N1CCN(CC1)C1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",3.181833
159,6dlo,,CC1=C(NC(CN2N=CN=C2)=O)C=CC=C1,protein_center,"-18.041,-13.011,7.779",2.9739308
160,6dlo,,N(CC1=CC=CC=C1C)(C(=O)C1=CC=C(C=C1)C)C1(CCN(CC1)C(C)=O)C(=O)NCC1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",5.1170335
161,6dlo,,C1(C(OCC)=O)=C(CN(C)C)OC2C=C(Br)C(OC)=C(O)C1=2.Cl,protein_center,"-18.041,-13.011,7.779",1.6899116
162,6dlo,,S(=O)(=O)(C1C=CC(=CC=1)F)N1CC2(C1)CN(CC2C1ON=C(C)N=1)C(COC)=O,protein_center,"-18.041,-13.011,7.779",4.8612757
163,6dlo,,N1([C@@]2([H])CCC[C@H]3N[C@H](CC4C=CC=CC=4)[C@@H]1C[C@@]23C)C(=O)C1=C(C)N=C(NC(C)=O)S1,protein_center,"-18.041,-13.011,7.779",3.9333649
164,6dlo,,C(CO)(=O)C1C=CC(=CC=1)OC,protein_center,"-18.041,-13.011,7.779",1.913363
165,6dlo,,N(=CC1=CC=CC=C1)C1=CC(=CC=C1)Cl,protein_center,"-18.041,-13.011,7.779",3.7955685
